Refname,Well,Fluorescence,Container ID,Aliquot ID,Aliquot Name,Aliquot Volume (ul),replicate,calibration,concentration
,A1,,,,fluorescein_cal,100,1,,50:micromolar
,A2,,,,fluorescein_cal,100,1,,25:micromolar
,A3,,,,fluorescein_cal,100,1,,12.5:micromolar
,A4,,,,fluorescein_cal,100,1,,6.25:micromolar
,A5,,,,fluorescein_cal,100,1,,3.125:micromolar
,A6,,,,fluorescein_cal,100,1,,1.563:micromolar
,A7,,,,fluorescein_cal,100,1,,0.781:micromolar
,A8,,,,fluorescein_cal,100,1,,0.391:micromolar
,A9,,,,fluorescein_cal,100,1,,0.195:micromolar
,A10,,,,fluorescein_cal,100,1,,0.098:micromolar
,A11,,,,fluorescein_cal,100,1,,0.049:micromolar
,A12,,,,fluorescein_cal,100,1,,0:micromolar
,B1,,,,fluorescein_cal,100,2,,50:micromolar
,B2,,,,fluorescein_cal,100,2,,25:micromolar
,B3,,,,fluorescein_cal,100,2,,12.5:micromolar
,B4,,,,fluorescein_cal,100,2,,6.25:micromolar
,B5,,,,fluorescein_cal,100,2,,3.125:micromolar
,B6,,,,fluorescein_cal,100,2,,1.563:micromolar
,B7,,,,fluorescein_cal,100,2,,0.781:micromolar
,B8,,,,fluorescein_cal,100,2,,0.391:micromolar
,B9,,,,fluorescein_cal,100,2,,0.195:micromolar
,B10,,,,fluorescein_cal,100,2,,0.098:micromolar
,B11,,,,fluorescein_cal,100,2,,0.049:micromolar
,B12,,,,fluorescein_cal,100,2,,0:micromolar
,C1,,,,fluorescein_cal,100,3,,50:micromolar
,C2,,,,fluorescein_cal,100,3,,25:micromolar
,C3,,,,fluorescein_cal,100,3,,12.5:micromolar
,C4,,,,fluorescein_cal,100,3,,6.25:micromolar
,C5,,,,fluorescein_cal,100,3,,3.125:micromolar
,C6,,,,fluorescein_cal,100,3,,1.563:micromolar
,C7,,,,fluorescein_cal,100,3,,0.781:micromolar
,C8,,,,fluorescein_cal,100,3,,0.391:micromolar
,C9,,,,fluorescein_cal,100,3,,0.195:micromolar
,C10,,,,fluorescein_cal,100,3,,0.098:micromolar
,C11,,,,fluorescein_cal,100,3,,0.049:micromolar
,C12,,,,fluorescein_cal,100,3,,0:micromolar
,D1,,,,fluorescein_cal,100,4,,50:micromolar
,D2,,,,fluorescein_cal,100,4,,25:micromolar
,D3,,,,fluorescein_cal,100,4,,12.5:micromolar
,D4,,,,fluorescein_cal,100,4,,6.25:micromolar
,D5,,,,fluorescein_cal,100,4,,3.125:micromolar
,D6,,,,fluorescein_cal,100,4,,1.563:micromolar
,D7,,,,fluorescein_cal,100,4,,0.781:micromolar
,D8,,,,fluorescein_cal,100,4,,0.391:micromolar
,D9,,,,fluorescein_cal,100,4,,0.195:micromolar
,D10,,,,fluorescein_cal,100,4,,0.098:micromolar
,D11,,,,fluorescein_cal,100,4,,0.049:micromolar
,D12,,,,fluorescein_cal,100,4,,0:micromolar
,GAIN,,,,,,,,